Group	SubGroup	Protein	Protein ID	Entry Name	Gene	Length	Percent Coverage	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
100	a	sp|P05455|LA_HUMAN	P05455	LA_HUMAN	SSB	408	8.80	Homo sapiens OX=9606	Lupus La protein 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	2C(57.0215)	Phospho(79.966300)	
101	a	sp|P05556|ITB1_HUMAN	P05556	ITB1_HUMAN	ITGB1	798	6.50	Homo sapiens OX=9606	Integrin beta-1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	13C(57.0215)		
102	a	sp|P05783|K1C18_HUMAN	P05783	K1C18_HUMAN	KRT18	430	31.60	Homo sapiens OX=9606	Keratin, type I cytoskeletal 18 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	18	18	18	     0	     0	     0	20M(15.9949), 3M(15.9949)		
103	a	sp|P06396|GELS_HUMAN	P06396	GELS_HUMAN	GSN	782	5.60	Homo sapiens	Gelsolin 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	4C(57.0215)		
104	a	sp|P06454|PTMA_HUMAN	P06454	PTMA_HUMAN	PTMA	111	13.50	Homo sapiens OX=9606	Prothymosin alpha 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
105	a	sp|P06576|ATPB_HUMAN	P06576	ATPB_HUMAN	ATP5F1B	529	29.30	Homo sapiens OX=9606	ATP synthase subunit beta, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	12	12	12	     0	     0	     0	16M(15.9949), 2M(15.9949)	Delta:H(4)C(3)(40.031300)	
106	a	sp|P06733|ENOA_HUMAN	P06733	ENOA_HUMAN	ENO1	434	53.00	Homo sapiens OX=9606	Alpha-enolase 	1:Experimental evidence at protein level	1.0000	0.9990	15	12	15	56	48	56	     0	     0	     0	10M(15.9949), 14C(57.0215), 3M(15.9949), 5M(15.9949), 7M(15.9949)	Amidine(41.026500), Carbamyl(43.005800), Cation:Ca[II](37.946900), Cation:Fe[III](52.911400), Cation:Fe[II](53.919200), Delta:H(4)C(3)(40.031300), Delta:H(4)C(3)(40.031300)	
107	a	sp|P06744|G6PI_HUMAN	P06744	G6PI_HUMAN	GPI	558	21.00	Homo sapiens OX=9606	Glucose-6-phosphate isomerase 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	11	11	11	     0	     0	     0	4C(57.0215)		
108	a	sp|P06748|NPM_HUMAN	P06748	NPM_HUMAN	NPM1	294	41.50	Homo sapiens OX=9606	Nucleophosmin 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	34	34	34	     0	     0	     0	11M(15.9949), 1C(57.0215), 1M(15.9949), 21C(57.0215), 5M(15.9949), 7M(15.9949), N-term(42.0106)	Phospho(79.966300), Phospho(79.966300), Phospho(79.966300)	
109	a	sp|P07108|ACBP_HUMAN	P07108	ACBP_HUMAN	DBI	87	41.40	Homo sapiens OX=9606	Acyl-CoA-binding protein 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
110	a	sp|P07195|LDHB_HUMAN	P07195	LDHB_HUMAN	LDHB	334	20.40	Homo sapiens OX=9606	L-lactate dehydrogenase B chain 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	11	11	11	     0	     0	     0	13C(57.0215), 3M(15.9949)		
111	a	sp|P07203|GPX1_HUMAN	P07203	GPX1_HUMAN	GPX1	203	23.60	Homo sapiens OX=9606	Glutathione peroxidase 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	9C(57.0215)		
112	a	sp|P07205|PGK2_HUMAN	P07205	PGK2_HUMAN	PGK2	417	18.50	Homo sapiens OX=9606	Phosphoglycerate kinase 2 	1:Experimental evidence at protein level	1.0000	0.9990	5	2	2	8	3	3	     0	     0	     0	2C(57.0215)		
113	a	sp|P07237|PDIA1_HUMAN	P07237	PDIA1_HUMAN	P4HB	508	23.20	Homo sapiens OX=9606	Protein disulfide-isomerase 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	10	10	10	     0	     0	     0		Pro->HAVA(18.010500)	
114	a	sp|P07355|ANXA2_HUMAN	P07355	ANXA2_HUMAN	ANXA2	339	34.50	Homo sapiens OX=9606	Annexin A2 	1:Experimental evidence at protein level	1.0000	0.9990	8	3	8	14	5	14	     0	     0	     0	13C(57.0215), 14C(57.0215)	Cation:Fe[III](52.911400), DTT(151.996500)	
115	a	sp|P07602|SAP_HUMAN	P07602	SAP_HUMAN	PSAP	524	7.60	Homo sapiens OX=9606	Prosaposin 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
116	a	sp|P07686|HEXB_HUMAN	P07686	HEXB_HUMAN	HEXB	556	6.70	Homo sapiens OX=9606	Beta-hexosaminidase subunit beta 	1:Experimental evidence at protein level	1.0000	0.9987	2	2	2	2	2	2	     0	     0	     0			
117	a	sp|P07737|PROF1_HUMAN	P07737	PROF1_HUMAN	PFN1	140	60.00	Homo sapiens OX=9606	Profilin-1 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	10	10	10	     0	     0	     0	11M(15.9949), 16C(57.0215), 17C(57.0215), 1C(57.0215), N-term(42.0106)	Cation:Fe[II](53.919200), Delta:H(4)C(3)(40.031300)	
118	a	sp|P07814|SYEP_HUMAN	P07814	SYEP_HUMAN	EPRS1	1512	11.80	Homo sapiens OX=9606	Bifunctional glutamate/proline--tRNA ligase 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	10	10	10	     0	     0	     0	10C(57.0215), 11C(57.0215), 17C(57.0215), 3C(57.0215), 4C(57.0215)		
119	a	sp|P07919|QCR6_HUMAN	P07919	QCR6_HUMAN	UQCRH	91	19.80	Homo sapiens OX=9606	Cytochrome b-c1 complex subunit 6, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	2	2	2	     0	     0	     0	7C(57.0215)		
120	a	sp|P07954|FUMH_HUMAN	P07954	FUMH_HUMAN	FH	510	19.20	Homo sapiens OX=9606	Fumarate hydratase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	22C(57.0215)		
121	a	sp|P08133|ANXA6_HUMAN	P08133	ANXA6_HUMAN	ANXA6	673	8.00	Homo sapiens OX=9606	Annexin A6 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
122	a	sp|P08174|DAF_HUMAN	P08174	DAF_HUMAN	CD55	381	18.90	Homo sapiens OX=9606	Complement decay-accelerating factor 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	7	7	7	     0	     0	     0	12C(57.0215), 19C(57.0215), 28C(57.0215), 4C(57.0215)		
123	a	sp|P08195|4F2_HUMAN	P08195	4F2_HUMAN	SLC3A2	630	22.50	Homo sapiens OX=9606	4F2 cell-surface antigen heavy chain 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	10	10	10	     0	     0	     0	N-term(42.0106)	Delta:H(4)C(3)(40.031300)	
124	a	sp|P08243|ASNS_HUMAN	P08243	ASNS_HUMAN	ASNS	561	20.10	Homo sapiens OX=9606	Asparagine synthetase [glutamine-hydrolyzing] 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	9	9	9	     0	     0	     0	10C(57.0215), 11C(57.0215), 3C(57.0215)		
125	a	sp|P08574|CY1_HUMAN	P08574	CY1_HUMAN	CYC1	325	11.10	Homo sapiens OX=9606	Cytochrome c1, heme protein, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	15C(57.0215)		
126	a	sp|P08621|RU17_HUMAN	P08621	RU17_HUMAN	SNRNP70	437	3.00	Homo sapiens OX=9606	U1 small nuclear ribonucleoprotein 70 kDa 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	2	2	2	     0	     0	     0			
127	a	sp|P08670|VIME_HUMAN	P08670	VIME_HUMAN	VIM	466	21.00	Homo sapiens OX=9606	Vimentin 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	9	9	9	     0	     0	     0		Delta:H(4)C(3)(40.031300)	
128	a	sp|P08708|RS17_HUMAN	P08708	RS17_HUMAN	RPS17	135	43.00	Homo sapiens OX=9606	40S ribosomal protein S17 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	10	10	10	     0	     0	     0	19M(15.9949), 2C(57.0215), 3C(57.0215)		
129	a	sp|P08729|K2C7_HUMAN	P08729	K2C7_HUMAN	KRT7	469	19.80	Homo sapiens OX=9606	Keratin, type II cytoskeletal 7 	1:Experimental evidence at protein level	1.0000	0.9990	8	7	7	10	8	8	     0	     0	     0	23M(15.9949)		
130	a	sp|P08758|ANXA5_HUMAN	P08758	ANXA5_HUMAN	ANXA5	320	19.10	Homo sapiens	Annexin A5 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
131	a	sp|P08865|RSSA_HUMAN	P08865	RSSA_HUMAN	RPSA	295	29.20	Homo sapiens OX=9606	40S ribosomal protein SA 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	11	11	11	     0	     0	     0	20C(57.0215)		
132	a	sp|P09012|SNRPA_HUMAN	P09012	SNRPA_HUMAN	SNRPA	282	13.10	Homo sapiens OX=9606	U1 small nuclear ribonucleoprotein A 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
133	a	sp|P09104|ENOG_HUMAN	P09104	ENOG_HUMAN	ENO2	434	21.20	Homo sapiens OX=9606	Gamma-enolase 	1:Experimental evidence at protein level	1.0000	0.9941	5	3	3	11	5	5	     0	     0	     0	10M(15.9949)		
134	a	sp|P09382|LEG1_HUMAN	P09382	LEG1_HUMAN	LGALS1	135	33.30	Homo sapiens OX=9606	Galectin-1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	12C(57.0215), 16C(57.0215), 2C(57.0215), 6C(57.0215), N-term(42.0106)		
135	a	sp|P09622|DLDH_HUMAN	P09622	DLDH_HUMAN	DLD	509	6.30	Homo sapiens OX=9606	Dihydrolipoyl dehydrogenase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	2C(57.0215)		
136	a	sp|P09874|PARP1_HUMAN	P09874	PARP1_HUMAN	PARP1	1014	15.70	Homo sapiens OX=9606	Poly [ADP-ribose] polymerase 1 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	11	11	11	     0	     0	     0	13C(57.0215), 16C(57.0215)		
137	a	sp|P09960|LKHA4_HUMAN	P09960	LKHA4_HUMAN	LTA4H	611	13.40	Homo sapiens OX=9606	Leukotriene A-4 hydrolase 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	6	6	6	     0	     0	     0			
138	a	sp|P0DMM9|ST1A3_HUMAN	P0DMM9	ST1A3_HUMAN	SULT1A3	295	14.20	Homo sapiens OX=9606	Sulfotransferase 1A3 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	2	0	2	     0	     0	     0			sp|P0DMN0|ST1A4_HUMAN
139	a	sp|P0DP23|CALM1_HUMAN	P0DP23	CALM1_HUMAN	CALM1	149	28.20	Homo sapiens OX=9606	Calmodulin-1 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	3	0	3	     0	     0	     0			sp|P0DP24|CALM2_HUMAN, sp|P0DP25|CALM3_HUMAN
140	a	sp|P10809|CH60_HUMAN	P10809	CH60_HUMAN	HSPD1	573	32.50	Homo sapiens OX=9606	60 kDa heat shock protein, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	23	23	23	     0	     0	     0	13C(57.0215), 18M(15.9949), 1C(57.0215), 2M(15.9949)	Cation:Fe[III](52.911400), Cation:Fe[III](52.911400)	
141	a	sp|P11021|BIP_HUMAN	P11021	BIP_HUMAN	HSPA5	654	31.50	Homo sapiens OX=9606	Endoplasmic reticulum chaperone BiP 	1:Experimental evidence at protein level	1.0000	0.9990	14	13	13	16	15	15	     0	     0	     0	18C(57.0215)		
142	a	sp|P11172|UMPS_HUMAN	P11172	UMPS_HUMAN	UMPS	480	6.50	Homo sapiens OX=9606	Uridine 5'-monophosphate synthase 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
143	a	sp|P11177|ODPB_HUMAN	P11177	ODPB_HUMAN	PDHB	359	8.90	Homo sapiens OX=9606	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
144	a	sp|P11387|TOP1_HUMAN	P11387	TOP1_HUMAN	TOP1	765	3.40	Homo sapiens OX=9606	DNA topoisomerase 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	6C(57.0215), N-term(42.0106)		
145	a	sp|P11413|G6PD_HUMAN	P11413	G6PD_HUMAN	G6PD	515	25.40	Homo sapiens OX=9606	Glucose-6-phosphate 1-dehydrogenase 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	9	9	9	     0	     0	     0	15C(57.0215), 1C(57.0215), 5M(15.9949)		
146	a	sp|P11498|PYC_HUMAN	P11498	PYC_HUMAN	PC	1178	5.30	Homo sapiens OX=9606	Pyruvate carboxylase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0			
147	a	sp|P11586|C1TC_HUMAN	P11586	C1TC_HUMAN	MTHFD1	935	14.70	Homo sapiens OX=9606	C-1-tetrahydrofolate synthase, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	8	8	8	     0	     0	     0	20C(57.0215)		
148	a	sp|P11766|ADHX_HUMAN	P11766	ADHX_HUMAN	ADH5	374	9.60	Homo sapiens OX=9606	Alcohol dehydrogenase class-3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	2C(57.0215), 6C(57.0215)		
149	a	sp|P12004|PCNA_HUMAN	P12004	PCNA_HUMAN	PCNA	261	23.80	Homo sapiens OX=9606	Proliferating cell nuclear antigen 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0	13C(57.0215), 18C(57.0215), 2M(15.9949)		
150	a	sp|P12268|IMDH2_HUMAN	P12268	IMDH2_HUMAN	IMPDH2	514	34.40	Homo sapiens OX=9606	Inosine-5'-monophosphate dehydrogenase 2 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	12	12	12	     0	     0	     0	13C(57.0215), 17C(57.0215), 4C(57.0215), 6C(57.0215), 9C(57.0215)		
151	a	sp|P12270|TPR_HUMAN	P12270	TPR_HUMAN	TPR	2363	3.80	Homo sapiens OX=9606	Nucleoprotein TPR 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0			
152	a	sp|P12277|KCRB_HUMAN	P12277	KCRB_HUMAN	CKB	381	11.00	Homo sapiens OX=9606	Creatine kinase B-type 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
153	a	sp|P12429|ANXA3_HUMAN	P12429	ANXA3_HUMAN	ANXA3	323	9.90	Homo sapiens OX=9606	Annexin A3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
154	a	sp|P12956|XRCC6_HUMAN	P12956	XRCC6_HUMAN	XRCC6	609	12.80	Homo sapiens OX=9606	X-ray repair cross-complementing protein 6 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	6	6	6	     0	     0	     0	2M(15.9949)		
155	a	sp|P13010|XRCC5_HUMAN	P13010	XRCC5_HUMAN	XRCC5	732	20.60	Homo sapiens OX=9606	X-ray repair cross-complementing protein 5 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	8	8	8	     0	     0	     0			
156	a	sp|P13284|GILT_HUMAN	P13284	GILT_HUMAN	IFI30	250	15.20	Homo sapiens OX=9606	Gamma-interferon-inducible lysosomal thiol reductase 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	13C(57.0215)		
157	a	sp|P13489|RINI_HUMAN	P13489	RINI_HUMAN	RNH1	461	8.90	Homo sapiens OX=9606	Ribonuclease inhibitor 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	10C(57.0215), 11C(57.0215), 21C(57.0215)		
158	a	sp|P13639|EF2_HUMAN	P13639	EF2_HUMAN	EEF2	858	25.30	Homo sapiens OX=9606	Elongation factor 2 	1:Experimental evidence at protein level	1.0000	0.9990	13	13	13	19	19	19	     0	     0	     0	10C(57.0215), 11C(57.0215), 16C(57.0215), 1C(57.0215), 3C(57.0215), 8C(57.0215)	Delta:H(4)C(3)(40.031300)	
159	a	sp|P13667|PDIA4_HUMAN	P13667	PDIA4_HUMAN	PDIA4	645	12.10	Homo sapiens OX=9606	Protein disulfide-isomerase A4 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0			
160	a	sp|P13804|ETFA_HUMAN	P13804	ETFA_HUMAN	ETFA	333	25.80	Homo sapiens OX=9606	Electron transfer flavoprotein subunit alpha, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	6	6	6	     0	     0	     0	8C(57.0215)		
161	a	sp|P13929|ENOB_HUMAN	P13929	ENOB_HUMAN	ENO3	434	17.70	Homo sapiens OX=9606	Beta-enolase 	1:Experimental evidence at protein level	1.0000	0.9990	5	2	2	11	3	3	     0	     0	     0			
162	a	sp|P13987|CD59_HUMAN	P13987	CD59_HUMAN	CD59	128	18.80	Homo sapiens OX=9606	CD59 glycoprotein 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	10C(57.0215), 11C(57.0215), 4C(57.0215)		
163	a	sp|P14209|CD99_HUMAN	P14209	CD99_HUMAN	CD99	185	23.20	Homo sapiens OX=9606	CD99 antigen 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
164	a	sp|P14314|GLU2B_HUMAN	P14314	GLU2B_HUMAN	PRKCSH	528	31.20	Homo sapiens OX=9606	Glucosidase 2 subunit beta 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	12	12	12	     0	     0	     0	11C(57.0215), 18C(57.0215), 21C(57.0215), 23C(57.0215), 25C(57.0215), 4C(57.0215), 6C(57.0215), 8C(57.0215), 9C(57.0215)	HexNAc(203.079300)	
165	a	sp|P14324|FPPS_HUMAN	P14324	FPPS_HUMAN	FDPS	419	7.20	Homo sapiens OX=9606	Farnesyl pyrophosphate synthase 	1:Experimental evidence at protein level	1.0000	0.9987	2	2	2	2	2	2	     0	     0	     0			
166	a	sp|P14384|CBPM_HUMAN	P14384	CBPM_HUMAN	CPM	443	9.00	Homo sapiens OX=9606	Carboxypeptidase M 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
167	a	sp|P14550|AK1A1_HUMAN	P14550	AK1A1_HUMAN	AKR1A1	325	14.50	Homo sapiens OX=9606	Aldo-keto reductase family 1 member A1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	7C(57.0215)		
168	a	sp|P14618|KPYM_HUMAN	P14618	KPYM_HUMAN	PKM	531	40.50	Homo sapiens OX=9606	Pyruvate kinase PKM 	1:Experimental evidence at protein level	1.0000	0.9990	13	13	13	40	40	40	     0	     0	     0	11M(15.9949), 13M(15.9949), 16C(57.0215), 18M(15.9949), 28C(57.0215), 7C(57.0215), 9M(15.9949)	Carbamyl(43.005800), Cation:Ca[II](37.946900), Cation:Ca[II](37.946900), Cation:Na(21.981900)	
169	a	sp|P14854|CX6B1_HUMAN	P14854	CX6B1_HUMAN	COX6B1	86	33.70	Homo sapiens OX=9606	Cytochrome c oxidase subunit 6B1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	2C(57.0215), 6C(57.0215)		
170	a	sp|P14866|HNRPL_HUMAN	P14866	HNRPL_HUMAN	HNRNPL	589	21.20	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein L 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	     0	     0	     0		Delta:H(4)C(3)(40.031300)	
171	a	sp|P14868|SYDC_HUMAN	P14868	SYDC_HUMAN	DARS1	501	17.60	Homo sapiens OX=9606	Aspartate--tRNA ligase, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	     0	     0	     0	4C(57.0215), 6C(57.0215)		
172	a	sp|P15121|ALDR_HUMAN	P15121	ALDR_HUMAN	AKR1B1	316	27.80	Homo sapiens OX=9606	Aldo-keto reductase family 1 member B1 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	8	8	8	     0	     0	     0	10C(57.0215), 2C(57.0215), 4C(57.0215), 5C(57.0215), 7C(57.0215)		
173	a	sp|P15170|ERF3A_HUMAN	P15170	ERF3A_HUMAN	GSPT1	499	15.20	Homo sapiens OX=9606	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A 	1:Experimental evidence at protein level	1.0000	0.9990	4	2	4	5	2	5	     0	     0	     0	14C(57.0215), 20C(57.0215), 7C(57.0215)		
174	a	sp|P15311|EZRI_HUMAN	P15311	EZRI_HUMAN	EZR	586	17.90	Homo sapiens OX=9606	Ezrin 	1:Experimental evidence at protein level	1.0000	0.9990	7	5	5	7	5	5	     0	     0	     0	10C(57.0215)		
175	a	sp|P15328|FOLR1_HUMAN	P15328	FOLR1_HUMAN	FOLR1	257	12.80	Homo sapiens OX=9606	Folate receptor alpha 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	13C(57.0215), 1C(57.0215), 6C(57.0215)		
176	a	sp|P15374|UCHL3_HUMAN	P15374	UCHL3_HUMAN	UCHL3	230	17.40	Homo sapiens OX=9606	Ubiquitin carboxyl-terminal hydrolase isozyme L3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	7C(57.0215)		
177	a	sp|P15559|NQO1_HUMAN	P15559	NQO1_HUMAN	NQO1	274	8.80	Homo sapiens	NAD(P)H dehydrogenase [quinone] 1 	1:Experimental evidence at protein level	1.0000	0.9981	2	2	2	2	2	2	     0	     0	     0		Delta:H(4)C(3)(40.031300)	
178	a	sp|P15880|RS2_HUMAN	P15880	RS2_HUMAN	RPS2	293	12.60	Homo sapiens OX=9606	40S ribosomal protein S2 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0			
179	a	sp|P15927|RFA2_HUMAN	P15927	RFA2_HUMAN	RPA2	270	13.30	Homo sapiens OX=9606	Replication protein A 32 kDa subunit 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	2C(57.0215)		
180	a	sp|P16083|NQO2_HUMAN	P16083	NQO2_HUMAN	NQO2	231	18.20	Homo sapiens	Ribosyldihydronicotinamide dehydrogenase [quinone] 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
181	a	sp|P16435|NCPR_HUMAN	P16435	NCPR_HUMAN	POR	677	6.50	Homo sapiens OX=9606	NADPH--cytochrome P450 reductase 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
182	a	sp|P16615|AT2A2_HUMAN	P16615	AT2A2_HUMAN	ATP2A2	1042	6.90	Homo sapiens OX=9606	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	20C(57.0215), 23C(57.0215), 6C(57.0215), 7C(57.0215)		
183	a	sp|P17174|AATC_HUMAN	P17174	AATC_HUMAN	GOT1	413	23.50	Homo sapiens OX=9606	Aspartate aminotransferase, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0	4C(57.0215)		
184	a	sp|P17655|CAN2_HUMAN	P17655	CAN2_HUMAN	CAPN2	700	7.00	Homo sapiens OX=9606	Calpain-2 catalytic subunit 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	4C(57.0215), 6C(57.0215)		
185	a	sp|P17844|DDX5_HUMAN	P17844	DDX5_HUMAN	DDX5	614	15.80	Homo sapiens OX=9606	Probable ATP-dependent RNA helicase DDX5 	1:Experimental evidence at protein level	1.0000	0.9990	5	4	5	5	4	5	     0	     0	     0	14C(57.0215)		
186	a	sp|P17931|LEG3_HUMAN	P17931	LEG3_HUMAN	LGALS3	250	14.40	Homo sapiens OX=9606	Galectin-3 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
187	a	sp|P17980|PRS6A_HUMAN	P17980	PRS6A_HUMAN	PSMC3	439	12.50	Homo sapiens OX=9606	26S proteasome regulatory subunit 6A 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
188	a	sp|P17987|TCPA_HUMAN	P17987	TCPA_HUMAN	TCP1	556	22.70	Homo sapiens OX=9606	T-complex protein 1 subunit alpha 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	8	8	8	     0	     0	     0	19C(57.0215), 7C(57.0215)		
189	a	sp|P18085|ARF4_HUMAN	P18085	ARF4_HUMAN	ARF4	180	21.70	Homo sapiens OX=9606	ADP-ribosylation factor 4 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	3	0	3	     0	     0	     0			sp|P61204|ARF3_HUMAN, sp|P84077|ARF1_HUMAN, sp|P84085|ARF5_HUMAN
190	a	sp|P18124|RL7_HUMAN	P18124	RL7_HUMAN	RPL7	248	17.30	Homo sapiens OX=9606	60S ribosomal protein L7 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	6	6	6	     0	     0	     0			
191	a	sp|P18206|VINC_HUMAN	P18206	VINC_HUMAN	VCL	1134	14.60	Homo sapiens OX=9606	Vinculin 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	7	7	7	     0	     0	     0			
192	a	sp|P18621|RL17_HUMAN	P18621	RL17_HUMAN	RPL17	184	36.40	Homo sapiens OX=9606	60S ribosomal protein L17 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	     0	     0	     0	9C(57.0215)		
193	a	sp|P18754|RCC1_HUMAN	P18754	RCC1_HUMAN	RCC1	421	24.70	Homo sapiens OX=9606	Regulator of chromosome condensation 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0	22C(57.0215), 23C(57.0215), 9C(57.0215)		
194	a	sp|P19338|NUCL_HUMAN	P19338	NUCL_HUMAN	NCL	710	8.50	Homo sapiens OX=9606	Nucleolin 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	6	6	6	     0	     0	     0			
195	a	sp|P19623|SPEE_HUMAN	P19623	SPEE_HUMAN	SRM	302	13.90	Homo sapiens OX=9606	Spermidine synthase 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	10C(57.0215), 15C(57.0215)		
